黒田 眞司 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0010061085180661984
一戸 雅聡 ( 2020年度: 筑波大学, 数理物質系, 准教授 )= 0.0010061085180661984
石橋 孝章 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0010061085180661984
志賀 隆 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0010061085180661984
久保田 章 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0010061085180661984
北原 格 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0010033820108036658
矢野 博明 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0010028867819521226
藤田 晃之 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.001002607582780046
藤川 昌樹 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.001002417302757093
小金澤 禎史 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0010019956208005846
山中 敏正 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0010019465531561267
田中 マリア ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0009978786331895338
堤 盛人 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0009963617327015816
八木 勇治 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0009955994843170207
塚田 泰彦 ( 2020年度: 関西外国語大学, 英語キャリア学部, 教授 )= 0.0009951004729704064
神原 貴樹 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0009938738647806997
イリチュ 美佳 (佐藤 美佳) ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0009933374617152962
砂川 有里子 ( 2020年度: 筑波大学, 人文社会系(名誉教授), 名誉教授 )= 0.0009920256687325929
野村 暢彦 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.000991297000945755
千葉 滋 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009896939926526095
原島 恒夫 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0009835631418066986
加藤 靖佳 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0009835631418066986
齋藤 一 ( 2020年度: 筑波大学, 人文社会系, 准教授 )= 0.0009833399221999364
樋口 直宏 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0009804901002191616
伊藤 太一 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0009780563962404367
加賀 信広 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0009780493848630023
牧本 直樹 ( 2020年度: 筑波大学, ビジネスサイエンス系, 教授 )= 0.0009773687046528228
竹越 一博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009755330690038901
水野 聖哉 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0009740147885911038
歳森 敦 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0009691589165797849
西平 賀昭 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0009691226483442657
榮 武二 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009684910171812621
入鹿山 容子 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 研究員 )= 0.0009676102747376112
廣瀬 幸生 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0009659598042931342
奥村 敏之 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0009657500929808436
今井 剛 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0009622935194259538
水本 斉志 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.000961489412595111
玉岡 晃 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000951289814882085
河合 弘二 ( 2020年度: 国際医療福祉大学, 国際医療福祉大学成田病院, 教授 )= 0.0009508586845802939
中嶋 洋輔 ( 2020年度: 筑波大学, プラズマ研究センター, 研究員 )= 0.0009507265239665852
安間 了 ( 2020年度: 徳島大学, 大学院社会産業理工学研究部(理工学域), 教授 )= 0.00095047622649089
濱口 佳和 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0009495404606314878
戒能 洋一 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0009480128889955897
西山 博之 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009479938173008098
市川 政雄 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000947687769265931
宇野 彰 ( 2020年度: 筑波大学, 人間系, 客員研究員 )= 0.0009463720423629045
吉川 正志 ( 2020年度: 筑波大学, 数理物質系, 准教授 )= 0.0009441635708449413
沖 明典 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009414737854408262
王 碧昭 ( 2020年度: 筑波大学, 生命環境系, 教授
2020年度: 流通経済大学, 経済学部, 教授 )= 0.0009405138309055993
稲垣 祐司 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0009403852864400067
繆 いん ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0009386879867212101
岡本 栄司 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.0009386879867212101
三宅 裕 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0009386632648113161
秋山 学 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0009366233819376685
蒔苗 直道 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0009353394402743094
稲垣 敏之 ( 2020年度: 筑波大学, システム情報系(副学長), 副学長 )= 0.0009341864809070293
田瀬 則雄 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.0009329267777112439
照沼 利之 ( 2020年度: 筑波大学, 医学医療系, 助手 )= 0.0009312946428849416
平松 祐司 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009304844406926359
雷 中方 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0009299418531639522
喜多 英治 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0009296879453354077
阪口 哲男 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.0009293858384740391
安野 嘉晃 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009293361851533523
小野 正樹 ( 2020年度: 筑波大学, 人文社会系, 教授 )= 0.0009286507202326623
谷口 守 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0009280455156933964
門脇 和男 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0009272679140469647
雨宮 護 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0009269377024703579
船戸 弘正 ( 2020年度: 東邦大学, 医学部, 教授
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 客員教授 )= 0.0009255260106369389
島居 徹 ( 2020年度: 筑波大学, 医学医療系, 客員研究員 )= 0.0009243082387411865
川上 康 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0009237338147865173
木村 達雄 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0009219647511622184
安仁屋 政武 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.0009219111002226647
小林 達彦 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0009216394772351704
安藤 真太郎 ( 2020年度: 筑波大学, 体育系, 講師 )= 0.0009214230553805612
平山 素子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0009214230553805612
吹田 真士 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0009214230553805611
向後 佑香 ( 2020年度: 筑波技術大学, 障害者高等教育研究支援センター, 助教 )= 0.0009214230553805611
小俣 幸嗣 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0009214230553805611
宮本 雅彦 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0009195620500614086
高谷 直樹 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0009157200003687305
