熊田 博明 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0008351534793968449
谷川 聡 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0008334960695477953
谷口 裕介 ( 2020年度: 筑波大学, 計算科学研究センター, 准教授 )= 0.0008242476098080108
柿澤 敏文 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0008221997497708157
山縣 憲司 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0007963136196144432
嵯峨 寿 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0007942610057323746
鈴木 英雄 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0007936938010593106
長崎 幸夫 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0007874922684665295
榮 武二 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0007860801807108336
矢作 直也 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0007853778881701972
金谷 和至 ( 2020年度: 筑波大学, 数理物質系(特命教授), 特命教授 )= 0.0007825658148618125
吉江 友照 ( 2020年度: 筑波大学, 計算科学研究センター, 准教授 )= 0.0007825658148618124
藤生 英行 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0007782654221569729
宮下 憲 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授
2020年度: 帝京大学, 医療技術学部, 教授 )= 0.0007748793121951998
金谷 麻理子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0007612872442067842
坂本 昭裕 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0007543266504247864
山田 永子 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0007490180967000046
森嶋 厚行 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.0007416113837096862
川上 康 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0007321477252587621
松田 裕雄 ( 2020年度: 筑波大学, 体育系, 研究員
2020年度: 筑波大学, 高細精医療イノベーション研究コア, 客員准教授 )= 0.0007268577118339383
米田 宏樹 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0007207359712276824
根本 清貴 ( 2020年度: 筑波大学, 医学医療系, 准教授
2020年度: 株式会社国際電気通信基礎技術研究所, 脳情報通信総合研究所, 研究員 )= 0.0007111225139625369
加納 英明 ( 2020年度: 九州大学, 理学研究院, 教授 )= 0.0007095444943432741
松田 ひとみ ( 2020年度: 筑波大学, 医学医療系, 名誉教授 )= 0.000706424842124864
安藤 真太郎 ( 2020年度: 筑波大学, 体育系, 講師 )= 0.0006985214230947317
平山 素子 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0006985214230947317
吹田 真士 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0006985214230947317
向後 佑香 ( 2020年度: 筑波技術大学, 障害者高等教育研究支援センター, 助教 )= 0.0006985214230947317
小俣 幸嗣 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0006985214230947317
櫻井 英幸 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0006971911941059932
小島 崇宏 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0006842948767304561
平松 祐司 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0006835347717260961
照沼 利之 ( 2020年度: 筑波大学, 医学医療系, 助手 )= 0.0006806870667912607
岡本 嘉一 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0006781506137463421
武川 寛樹 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000674278402884802
竹内 薫 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0006627745822228073
佐藤 明 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0006626875367012209
後藤 行延 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0006622012727023408
藤山 聡 ( 2020年度: 筑波大学, 附属病院, 病院講師 )= 0.0006470690165527669
福島 紘子 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0006470690165527669
岩崎 洋一 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0006411772835948798
中山 和久 ( 2020年度: 京都大学, 薬学研究科, 教授 )= 0.0006319747957086453
石塚 成人 ( 2020年度: 筑波大学, 計算科学研究センター, 准教授 )= 0.0006260219957872646
松本 正幸 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0006204407126702457
西丸 広史 ( 2020年度: 富山大学, 学術研究部医学系, 准教授 )= 0.0006204407126702457
川野 亜津子 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0006200036687924473
多久和 陽 ( 2020年度: 金沢大学, 医学系, 協力研究員 )= 0.0006157978202497474
山海 知子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0006118335007345706
藤井 範久 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0006026082849887923
田原 聡子 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 講師 )= 0.0006021444147694363
日下部 学 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0006007683203878027
坂田 麻実子 (柳元 麻実子) ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0005951888191013469
岡 典子 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0005896065570205341
野上 昭彦 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005880449205332732
南雲 康行 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0005863529924713613
長田 友紀 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0005832386921382866
高橋 大介 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0005790670460054782
加藤 貴康 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0005776234173485371
坂東 裕子 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0005760919622897106
大島 宣雄 ( 2020年度: 筑波大学, 医学医療系(名誉教授), 名誉教授 )= 0.000575395104270394
中田 由夫 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0005752271433139459
高橋 宏 ( nan )= 0.0005747271361010301
橋爪 祐美 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0005718082922078151
増田 元香 ( 2020年度: 文京学院大学, 保健医療技術学部, 教授 )= 0.0005718082922078151
岡田 浩介 ( 2020年度: 筑波大学, 附属病院, 病院講師 )= 0.0005708456632586338
鄭 仁豪 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0005678644795365316
目崎 登 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.0005652875098608296
盛武 敬 ( 2020年度: 産業医科大学, 産業生態科学研究所, 准教授 )= 0.0005572396385333305
檜澤 伸之 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005519897723241982
坂入 洋右 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0005496329128687916
田村 孝史 ( 2020年度: 筑波大学, 医学医療系, 研究員 )= 0.0005460988126939025
長谷川 聖修 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0005459060148670525
佐々木 銀河 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0005443836068262274
市川 政雄 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000543481431246906
櫻井 鉄也 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0005433568398024856
植田 琢也 ( 2020年度: 東北大学, 医学系研究科, 教授 )= 0.0005414571478616992
宮内 久絵 ( 2020年度: 筑波大学, 人間系, 助教 )= 0.0005343209479845929
石隈 利紀 ( 2020年度: 東京成徳大学, 応用心理学部, 教授 )= 0.0005342912551371387
園山 繁樹 ( 2020年度: 島根県立大学, 人間文化学部, 教授 )= 0.0005333673740239662
本多 伸一郎 ( 2020年度: 筑波大学, 生存ダイナミクス研究センター, 客員研究員 )= 0.0005328631691709291
五十嵐 都 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0005198298362852636
許 東洙 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0005198298362852636
繁森 英幸 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0005195625919968554
佐島 毅 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0005195401123084381
小林 秀之 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0005185696918583149
井田 哲雄 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.000514954143919953
Ｉｎｕｇａｉ Ｃａｒｏｌ ( 2020年度: 筑波大学, 教育推進部, 客員教授 )= 0.0005138055329862505
鶴淵 隆夫 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0005062298708569831
中村 幸治 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0005050871555392325
三盃 亜美 ( 2020年度: 筑波大学, 人間系, 助教 )= 0.000497589103015594
北村 豊 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.000496179487409068
新井 恵美 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.00049386838907683
冨所 康志 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0004926662912656154
松田 真秀 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.000490900507423949
