清水 紀宏 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0006772700255874612
川村 卓 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0006555600420082011
野中 勝利 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.0006506667992589757
鈴木 雅和 ( 2020年度: 筑波大学, 芸術系(名誉教授), 名誉教授 )= 0.0006506667992589757
大鹿 哲郎 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000640822942235241
稲木 光晴 ( 2020年度: 西南女学院大学, 保健福祉学部, 教授 )= 0.0006354702854465563
船戸 弘正 ( 2020年度: 東邦大学, 医学部, 教授
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 客員教授 )= 0.0006312637195197629
野津 有司 ( 2020年度: 筑波大学, 体育系, 名誉教授 )= 0.0006307242985318827
國部 雅大 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0006301057188238711
中込 四郎 ( 2020年度: 国士舘大学, 体育学部, その他 )= 0.0006221331590609243
松田 ひとみ ( 2020年度: 筑波大学, 医学医療系, 名誉教授 )= 0.0006220113232483146
中川 昭 ( 2020年度: 筑波大学, 体育系, 名誉教授 )= 0.0006151148213944735
葛岡 英明 ( 2020年度: 東京大学, 大学院情報理工学系研究科, 教授 )= 0.000613308503536017
Ｖｏｇｔ Ｋａｓｐａｒ ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 准教授 )= 0.0006121320378857386
鈴木 英雄 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0006007089895388435
加治 優一 ( 2020年度: 筑波大学, 医学医療系, 研究員 )= 0.0005968929980618179
玉岡 晃 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005960031737193798
酒井 俊 ( 2020年度: 筑波技術大学, 保健科学部, 教授 )= 0.0005913567478802624
久賀 圭祐 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005879268313258932
市川 政雄 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005865290483580784
松崎 一葉 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005865124735256037
長瀬 博 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.0005800494626943863
松島 亘志 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0005736562336232746
山縣 邦弘 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000572028624958334
村上 史明 ( 2020年度: 筑波大学, 芸術系, 助教 )= 0.0005683866594092187
Ｙａｓｓａ Ｍｉｃｈａｅｌ ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0005539608834208917
三波 千穂美 ( 2020年度: 筑波大学, 図書館情報メディア系, 講師 )= 0.0005293938586687206
長崎 勤 ( 2020年度: 実践女子大学, 生活科学部, 教授 )= 0.0005259551388130838
三友 奈々 ( 2020年度: 日本大学, 理工学部, 助教 )= 0.0005193237831586215
田中 直樹 ( 2020年度: 筑波大学, 医学医療系, 研究員 )= 0.0005189780452844411
川上 康 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005187955830159807
白川 友紀 ( 2020年度: 筑波大学, システム情報系(特命教授), 特命教授 )= 0.0005135344800179131
大高 泉 ( 2020年度: 常磐大学, 人間科学部, 教授 )= 0.0005103150746684767
岡崎 慎治 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0005093484919121659
岡田 浩介 ( 2020年度: 筑波大学, 附属病院, 病院講師 )= 0.0005023720571161275
鈴木 健嗣 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0005012338547844352
塚田 泰彦 ( 2020年度: 関西外国語大学, 英語キャリア学部, 教授 )= 0.0005010982488414761
大澤 義明 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.00048452260007649504
鄭 仁豪 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.00047788882902729656
徳竹 忠司 ( 2020年度: 筑波大学, 人間系, 講師 )= 0.00047207970681531063
和田 恒彦 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.00047207970681531063
三輪 佳宏 ( 2020年度: 国立研究開発法人理化学研究所, バイオリソース研究センター, 室長 )= 0.0004696889076932534
笠野 英弘 ( 2020年度: 山梨学院大学, スポーツ科学部, 准教授 )= 0.000468513010426772
齋藤 健司 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.000468513010426772
成瀬 和弥 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.000468513010426772
熊谷 嘉人 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.00046369898522412913
讃岐 勝 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.00046046287612519444
窪田 眞二 ( 2020年度: 常葉大学, 教育学部, 教授 )= 0.0004575113096453443
笹原 信一朗 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.00045388895626016974
野呂 文行 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0004535758176105885
竹田 一則 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.00045266293509991416
橋爪 祐美 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.00045012284654257276
増田 元香 ( 2020年度: 文京学院大学, 保健医療技術学部, 教授 )= 0.00045012284654257276
前野 哲博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0004472939401561784
小田 竜也 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0004467251302406831
新井 恵美 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0004401425128757832
吉田 武男 ( 2020年度: 関西外国語大学, 外国語学部, 教授 )= 0.00044011733410048487
根津 朋実 ( 2020年度: 早稲田大学, 教育・総合科学学術院, 教授 )= 0.00044011733410048487
大田 友一 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.0004355673401433949
安野 嘉晃 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0004343369054116249
羽田 康司 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0004331980640184476
緒方 昭広 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.00043076284538680603
斎藤 卓 ( 2020年度: 筑波大学, 体育系, 助教 )= 0.0004298437628294019
山本 泰彦 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0004265593303350359
金 尚泰 ( 2020年度: 筑波大学, 図書館情報メディア系, 准教授 )= 0.00042227656851575636
武川 寛樹 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0004192724643686891
内山 治樹 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.00041898810948785316
浅野 美礼 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0004170665012864012
大河内 信弘 ( 2020年度: 常磐大学, その他部局等, 教授
2020年度: 筑波大学, 医学医療系, 客員教授 )= 0.00041671155120326885
川口 孝泰 ( 2020年度: 東京情報大学, 看護学部, 教授 )= 0.00041221113220706723
堀口 文 ( 2020年度: 筑波大学, 体育系, 特任助教 )= 0.00040665140554194324
大根田 修 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0004000610775222965
橋本 幸一 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0003911255196729644
高橋 宏 ( nan )= 0.0003906205815734107
小野 誠司 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.00038908768778754695
五十殿 利治 ( 2020年度: 筑波大学, 芸術系(特命教授), 特命教授 )= 0.00038661604298783334
田原 麗衣 ( 2020年度: 成蹊大学, 経営学部, 講師 )= 0.0003853690436503563
濱田 洋実 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.00038356080121626924
青沼 和隆 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0003819233661563419
森田 展彰 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.000381599929560166
小久保 利雄 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 教授 )= 0.00037990925300376003
下條 信威 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.0003794911364802812
松村 明 ( 2020年度: 筑波大学, 医学医療系, 教授
2020年度: 茨城県立医療大学, 未登録, 学長 )= 0.0003774626054357613
浜野 淳 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.00037500373282348804
竹内 薫 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0003745158377652372
斉藤 毅 ( 2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 助教 )= 0.0003727339365805513
呉 世昶 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.00037264391138020175
太刀川 弘和 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0003719536517623118
関堂 充 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.00037171480824259025
堀 大介 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.000371304122900991
道喜 将太郎 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.000371304122900991
大井 雄一 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.000371304122900991
内田 文彦 ( 2020年度: 筑波大学, 附属病院, 病院講師 )= 0.00037028848892495204
河野 了 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.00036935026136831865
大藏 倫博 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0003678497318034182
上北 恭史 ( 2020年度: 筑波大学, 芸術系, 教授 )= 0.00036395294242667756
室井 愛 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.00036296940894911046
吉瀬 章子 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0003627685569971677
森 健作 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0003608181267095344
石毛 和紀 ( 2020年度: 筑波大学, 医学医療系, 客員研究員 )= 0.00035548256733289167
中垣内 真樹 ( 2020年度: 鹿屋体育大学, スポーツ生命科学系, 教授 )= 0.0003530731127625893
國土 将平 ( 2020年度: 神戸大学, 人間発達環境学研究科, 教授 )= 0.0003530731127625893
長洲 南海男 ( 2020年度: 筑波大学, 人間系(名誉教授), 名誉教授 )= 0.0003514639117210497
宇陀 則彦 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.00035119167695020373
萱場 桃子 ( 2020年度: 公益財団法人神経研究所, 研究部, 研究員 )= 0.00034985845390011165
森田 恵美 ( 2020年度: 国立研究開発法人森林研究・整備機構, 森林総合研究所, 主任研究員 等
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 准教授 )= 0.00034985845390011165
中村 裕一 ( 2020年度: 京都大学, 学術情報メディアセンター, 教授 )= 0.00034710026251417005
長崎 幸夫 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.00034553748338423946
宇津呂 武仁 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.000341842929226666
朝田 隆 ( 2020年度: 東京医科歯科大学, その他の部局等, 特任教授 )= 0.0003415313147915245
檜澤 伸之 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0003401198507652151
米田 宏樹 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0003393049592522378
原 忠信 ( 2020年度: 筑波大学, 芸術系, 准教授 )= 0.00033744324742326145
藤井 さやか ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0003366067947885101
山口 佳樹 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.00033295407801693075
溝上 裕士 ( 2020年度: 筑波大学, 医学医療系, 客員研究員 )= 0.00033157267443298063
野口 雅之 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.00032962153613351973
高野 晋吾 ( 2020年度: 筑波大学, 附属病院, 病院講師 )= 0.00032899085000777253
山海 嘉之 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.000327862469892401
原田 悦子 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.00032458834453007136
水野 聖哉 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.00032439913179481265
小金澤 禎史 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0003237413206407611
斉藤 環 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.00032101023416773424
岡 典子 ( 2020年度: 筑波大学, 人間系, 教授 )= 0.0003188728191111943
平松 祐司 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000316528584838901
雨宮 護 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0003147910545301481
平岡 孝浩 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0003128938355934374
佐々木 銀河 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.0003121523279819523
武田 文 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0003105432537867837
山口 香 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0003104773245596914
天笠 俊之 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.00030941547481147037
山縣 憲司 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0003083356709919205
宮内 久絵 ( 2020年度: 筑波大学, 人間系, 助教 )= 0.00030621886071894645
岡本 史樹 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.00030500221539142786
白井 哲哉 ( 2020年度: 筑波大学, 図書館情報メディア系, 教授 )= 0.00030138578364119327
弦間 洋 ( 2020年度: 筑波大学, 生命環境系, 研究員 )= 0.0003007634644521676
谷口 守 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0002987826410744926
宍戸 英彦 ( 2020年度: 筑波大学, 計算科学研究センター, 助教 )= 0.00029645191849433906
小林 秀之 ( 2020年度: 筑波大学, 人間系, 准教授 )= 0.00029543478965730793
香川 璃奈 ( 2020年度: 筑波大学, 医学医療系, 講師 )= 0.000295274499466342
熊田 博明 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.00029511689004100633
