森田 純 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0007103318750563673
梶谷 邦彦 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.0007036522841054763
田林 明 ( 2020年度: 筑波大学, 生命環境系(名誉教授), 名誉教授 )= 0.0007034901247566133
木塚 朝博 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0007027555379091716
亀田 能成 ( 2020年度: 筑波大学, 計算科学研究センター, 教授 )= 0.0007010994071852177
沼尻 晴子 (橋井 晴子) ( 2020年度: 筑波大学, 附属病院, 病院講師 )= 0.0006985943583655494
征矢 英昭 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0006915152075691463
秋山 浩 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0006694920245314057
大藏 倫博 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.000659035063476026
田宮 菜奈子 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000655843994014189
目崎 登 ( 2020年度: 筑波大学, 体育系(名誉教授), 名誉教授 )= 0.000652403414421037
榎本 靖士 ( 2020年度: 筑波大学, 体育系, 准教授 )= 0.0006491790754289963
呉羽 正昭 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0006442055925650756
イリチュ 美佳 (佐藤 美佳) ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0006379577265336264
橋本 幸男 ( 2020年度: 筑波大学, 計算科学研究センター, 講師 )= 0.0006358698157585658
鈴木 勉 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.0006352354137709464
松田 ひとみ ( 2020年度: 筑波大学, 医学医療系, 名誉教授 )= 0.0006340455932193526
伊藤 光弘 ( 2020年度: 筑波大学, 数理物質系(名誉教授), 名誉教授 )= 0.000632457104906328
三輪 佳宏 ( 2020年度: 国立研究開発法人理化学研究所, バイオリソース研究センター, 室長 )= 0.0006308982167586248
白木 仁 ( 2020年度: 筑波大学, 体育系, 教授 )= 0.0006193111175203152
柳 久子 ( 2020年度: 筑波大学, 医学医療系, 准教授 )= 0.0006176559504637187
堀 大介 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0006152829989619379
道喜 将太郎 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0006152829989619379
大井 雄一 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.0006152829989619379
河本 浩明 ( 2020年度: 筑波大学, システム情報系, 准教授 )= 0.0006152636173156252
古川 宏 ( 2020年度: 独立行政法人国立病院機構東京病院(臨床研究部), 臨床研究部, 臨床研究部長 )= 0.0006113882779783251
松井 圭介 ( 2020年度: 筑波大学, 生命環境系, 教授 )= 0.0006079411743728994
安信 誠二 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.0006028311572591226
石川 仁 ( 2020年度: 国立研究開発法人量子科学技術研究開発機構, QST病院, 副病院長(定常) )= 0.000599454765109554
今井 仁司 ( 2020年度: 同志社大学, 理工学部, 教授 )= 0.0005983538051990733
中内 靖 ( 2020年度: 筑波大学, システム情報系, 教授 )= 0.000592323683977897
和氣 愛仁 ( 2020年度: 筑波大学, 人文社会系, 准教授 )= 0.0005919606969687548
正田 純一 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005898608171166207
萱場 桃子 ( 2020年度: 公益財団法人神経研究所, 研究部, 研究員 )= 0.0005845874908418569
森田 恵美 ( 2020年度: 国立研究開発法人森林研究・整備機構, 森林総合研究所, 主任研究員 等
2020年度: 筑波大学, 国際統合睡眠医科学研究機構, 准教授 )= 0.0005845874908418569
徳永 幸彦 ( 2020年度: 筑波大学, 生命環境系, 准教授 )= 0.0005833406071560576
前野 哲博 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005802205873946955
山縣 邦弘 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005786503879205624
村田 知弥 ( 2020年度: 筑波大学, 医学医療系, 助教 )= 0.000568656331773248
川村 一宏 ( 2020年度: 筑波大学, 数理物質系, 教授 )= 0.0005684510781459514
宮本 定明 ( 2020年度: 筑波大学, システム情報系(名誉教授), 名誉教授 )= 0.0005682955766158959
磯辺 智範 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.0005674605097944521
高橋 宏 ( nan )= 0.0005640246094664284
川上 康 ( 2020年度: 筑波大学, 医学医療系, 教授 )= 0.000559957977060486
